,hpso01 (Ingest) [],hpso01 (RCAL) [],hpso01 (ICAL) [],hpso01 (DPrepA) [],hpso01 (DPrepB) [],hpso01 (DPrepC) [],hpso01 (DPrepD) [],hpso02a (Ingest) [],hpso02a (RCAL) [],hpso02a (ICAL) [],hpso02a (DPrepA) [],hpso02a (DPrepB) [],hpso02a (DPrepC) [],hpso02a (DPrepD) [],hpso02b (Ingest) [],hpso02b (RCAL) [],hpso02b (ICAL) [],hpso02b (DPrepA) [],hpso02b (DPrepB) [],hpso02b (DPrepC) [],hpso02b (DPrepD) [],hpso04a (Ingest) [],hpso04a (RCAL) [],hpso04b (Ingest) [],hpso04b (RCAL) [],hpso04c (Ingest) [],hpso04c (RCAL) [],hpso05a (Ingest) [],hpso05a (RCAL) [],hpso05b (Ingest) [],hpso05b (RCAL) [],hpso13 (Ingest) [] [Bmax=40000],hpso13 (RCAL) [] [Bmax=40000],hpso13 (ICAL) [] [Bmax=40000],hpso13 (DPrepA) [] [Bmax=40000],hpso13 (DPrepB) [] [Bmax=40000],hpso13 (DPrepC) [] [Bmax=40000],hpso14 (Ingest) [] [Bmax=25000],hpso14 (RCAL) [] [Bmax=25000],hpso14 (ICAL) [] [Bmax=25000],hpso14 (DPrepA) [] [Bmax=25000],hpso14 (DPrepB) [] [Bmax=25000],hpso14 (DPrepC) [] [Bmax=25000],hpso15 (Ingest) [] [Bmax=15000],hpso15 (RCAL) [] [Bmax=15000],hpso15 (ICAL) [] [Bmax=15000],hpso15 (DPrepA) [] [Bmax=15000],hpso15 (DPrepB) [] [Bmax=15000],hpso15 (DPrepC) [] [Bmax=15000],hpso18 (Ingest) [],hpso18 (RCAL) [],hpso22 (Ingest) [],hpso22 (RCAL) [],hpso22 (ICAL) [],hpso22 (DPrepA) [],hpso22 (DPrepB) [],hpso27and33 (Ingest) [] [Bmax=50000],hpso27and33 (RCAL) [] [Bmax=50000],hpso27and33 (ICAL) [] [Bmax=50000],hpso27and33 (DPrepA) [] [Bmax=50000],hpso27and33 (DPrepB) [] [Bmax=50000],hpso32 (Ingest) [] [Bmax=20000],hpso32 (RCAL) [] [Bmax=20000],hpso32 (ICAL) [] [Bmax=20000],hpso32 (DPrepB) [] [Bmax=20000],hpso37a (Ingest) [],hpso37a (RCAL) [],hpso37a (ICAL) [],hpso37a (DPrepA) [],hpso37a (DPrepB) [],hpso37b (Ingest) [],hpso37b (RCAL) [],hpso37b (ICAL) [],hpso37b (DPrepA) [],hpso37b (DPrepB) [],hpso37c (Ingest) [] [Bmax=95000],hpso37c (RCAL) [] [Bmax=95000],hpso37c (ICAL) [] [Bmax=95000],hpso37c (DPrepA) [] [Bmax=95000],hpso37c (DPrepB) [] [Bmax=95000],hpso38a (Ingest) [],hpso38a (RCAL) [],hpso38a (ICAL) [],hpso38a (DPrepA) [],hpso38a (DPrepB) [],hpso38b (Ingest) [],hpso38b (RCAL) [],hpso38b (ICAL) [],hpso38b (DPrepA) [],hpso38b (DPrepB) [],max_low (Ingest) [],max_low (RCAL) [],max_low (FastImg) [],max_low (ICAL) [],max_low (DPrepA) [],max_low (DPrepA_Image) [],max_low (DPrepB) [],max_low (DPrepC) [],max_low (DPrepD) [],max_mid_band1 (Ingest) [],max_mid_band1 (RCAL) [],max_mid_band1 (FastImg) [],max_mid_band1 (ICAL) [],max_mid_band1 (DPrepA) [],max_mid_band1 (DPrepA_Image) [],max_mid_band1 (DPrepB) [],max_mid_band1 (DPrepC) [],max_mid_band1 (DPrepD) [],max_mid_band2 (Ingest) [],max_mid_band2 (RCAL) [],max_mid_band2 (FastImg) [],max_mid_band2 (ICAL) [],max_mid_band2 (DPrepA) [],max_mid_band2 (DPrepA_Image) [],max_mid_band2 (DPrepB) [],max_mid_band2 (DPrepC) [],max_mid_band2 (DPrepD) [],max_mid_band5a_1 (Ingest) [],max_mid_band5a_1 (RCAL) [],max_mid_band5a_1 (FastImg) [],max_mid_band5a_1 (ICAL) [],max_mid_band5a_1 (DPrepA) [],max_mid_band5a_1 (DPrepA_Image) [],max_mid_band5a_1 (DPrepB) [],max_mid_band5a_1 (DPrepC) [],max_mid_band5a_1 (DPrepD) [],max_mid_band5a_2 (Ingest) [],max_mid_band5a_2 (RCAL) [],max_mid_band5a_2 (FastImg) [],max_mid_band5a_2 (ICAL) [],max_mid_band5a_2 (DPrepA) [],max_mid_band5a_2 (DPrepA_Image) [],max_mid_band5a_2 (DPrepB) [],max_mid_band5a_2 (DPrepC) [],max_mid_band5a_2 (DPrepD) [],max_mid_band5b_1 (Ingest) [],max_mid_band5b_1 (RCAL) [],max_mid_band5b_1 (FastImg) [],max_mid_band5b_1 (ICAL) [],max_mid_band5b_1 (DPrepA) [],max_mid_band5b_1 (DPrepA_Image) [],max_mid_band5b_1 (DPrepB) [],max_mid_band5b_1 (DPrepC) [],max_mid_band5b_1 (DPrepD) [],max_mid_band5b_2 (Ingest) [],max_mid_band5b_2 (RCAL) [],max_mid_band5b_2 (FastImg) [],max_mid_band5b_2 (ICAL) [],max_mid_band5b_2 (DPrepA) [],max_mid_band5b_2 (DPrepA_Image) [],max_mid_band5b_2 (DPrepB) [],max_mid_band5b_2 (DPrepC) [],max_mid_band5b_2 (DPrepD) []
AW kernel support bw0 [uv-pixels],(undefined),13.772304131081581,13.772304131076762,9.836449912401356,10.829823564038508,10.866627870548784,(undefined),(undefined),13.772304131081581,11.738464118367318,9.836449912401356,10.829823564038508,10.866627870548784,(undefined),(undefined),13.772304131081581,11.738464118367318,9.836449912401356,10.829823564038508,10.866627870548784,(undefined),(undefined),12.861583732440991,(undefined),9.737136716555264,(undefined),9.325376130478231,(undefined),12.861583732440991,(undefined),9.37996754276486,(undefined),10.626311576015578,10.626311576015578,12.734988254385229,14.109834304833678,14.109834304833678,(undefined),9.927977202896425,10.252867431725015,10.650052809087656,10.791125363756018,11.488695871496287,(undefined),9.800692515168521,11.428352300534991,10.061826805063012,10.685783234366397,11.118480581033474,(undefined),9.737136716555264,(undefined),9.0485433811166,9.0485433811166,9.177498934931972,9.177498934931972,(undefined),10.997450545893832,11.978277718748236,11.166884707279271,12.50577664816405,(undefined),9.883955362306017,10.172070521764718,11.355806676550943,(undefined),9.402706720657049,9.632399279819598,9.261650524711653,9.11111852306217,(undefined),9.402706720657049,9.402706720657049,9.261650524711653,9.11111852306217,(undefined),10.06962010510775,10.06962010510775,12.396058890540067,9.261650524711653,(undefined),9.059726168649705,9.03458878250393,9.218069092632598,9.218069092632598,(undefined),9.059726168649705,9.059726168649705,9.218069092632598,9.218069092632598,(undefined),12.919566552617647,9.002119236620631,12.919566552642586,9.655370000890937,9.811807383649406,10.460261206120553,13.819179953671096,(undefined),(undefined),9.703438047910819,9.00466256037315,9.703438047910819,9.953190885284558,9.953190885284558,9.41287393668765,9.123965902381713,(undefined),(undefined),9.37996754276486,9.001166004462728,9.37996754276486,9.246777081560472,9.246777081560472,9.104756808704767,9.104756808704767,(undefined),(undefined),9.111573406730516,9.0001232006705,9.111573406730516,9.404603311966117,9.088650352990447,9.088650352990447,9.404603311966117,(undefined),(undefined),9.074080424011553,9.000081677635182,9.074080424011553,9.269968250271928,9.269968250271928,9.269968250271928,9.269968250271928,(undefined),(undefined),9.05497351192242,9.000060569435695,9.05497351192242,9.043654494970419,9.043654494970419,9.200841664284521,9.200841664284521,(undefined),(undefined),9.051585084834544,9.000029094502116,9.051585084834544,9.096910131422238,9.096910131422238,9.096910131422238,9.096910131422238,(undefined)
AW kernel support bw1 [uv-pixels],,13.772304131081581,13.772304131076762,9.836449912401356,10.829823564038508,10.866627870548784,,,13.772304131081581,11.738464118367318,9.836449912401356,10.829823564038508,10.866627870548784,,,13.772304131081581,11.738464118367318,9.836449912401356,10.829823564038508,10.866627870548784,,,12.861583732440991,,10.31635168806498,,9.590175478815754,,12.861583732440991,,9.687698951749713,,11.751180218360684,11.751180106308581,12.734988254385229,16.922531313076096,17.287507600044545,,10.285173800583866,10.486275417727919,10.650052809087656,10.791125363756018,13.227854133502772,,9.962286130196128,11.428352300534991,10.061826805063012,10.685783234366397,12.630777204705897,,10.31635168806498,,9.089055063199558,9.089055063199558,9.32390041537221,9.32390041537221,,11.517827961276712,11.978277718748236,11.166884707279271,14.389092809873919,,9.883955362306017,10.172070521764718,11.355806676550943,,9.72820188979327,10.13360766853456,9.475812211414866,9.20332890961058,,9.72820188979327,9.72820188979327,9.475812211414866,9.20332890961058,,10.888589596071798,10.888589596071798,12.396058890540067,9.475812211414866,,9.109520961145133,9.063489696030315,9.397267231329621,9.397267231329621,,9.109520961145133,9.109520961145133,9.397267231329621,9.397267231329621,,12.919566552617647,9.016962320092878,12.919566552642586,9.655370000890937,9.811807383649406,10.460261206120553,13.819179953671096,,,10.257692337561135,9.015739979015995,10.257692337561135,10.689496250664648,10.689496250664648,9.746289410658912,9.226716496648855,,,9.687698951749713,9.003936791210641,9.687698951749713,9.449037218621267,9.449037218621267,9.191738624050446,9.191738624050446,,,9.20415741685922,9.00041590208161,9.20415741685922,9.731576974323966,9.162366914513022,9.162366914513022,9.731576974323966,,,9.135762960882648,9.000275720664359,9.135762960882648,9.490771889991851,9.490771889991851,9.490771889991851,9.490771889991851,,,9.100825342446765,9.000204461572729,9.100825342446765,9.080101794754857,9.080101794754857,9.36614286326839,9.36614286326839,,,9.09462365340958,9.000098209129323,9.09462365340958,9.177434395039635,9.177434395039635,9.177434395039635,9.177434395039635,
AW kernel support bw2 [uv-pixels],,13.772304131081581,13.772304131076762,9.836449912401356,10.829823564038508,10.866627870548784,,,13.772304131081581,11.738464118367318,9.836449912401356,10.829823564038508,10.866627870548784,,,13.772304131081581,11.738464118367318,9.836449912401356,10.829823564038508,10.866627870548784,,,12.861583732440991,,10.96433288666485,,9.895163279073545,,12.861583732440991,,10.040620453827982,,11.751180218360684,11.751180106308581,12.734988254385229,16.922531313076096,19.20466822152421,,10.285173800583866,10.486275417727919,10.650052809087656,10.791125363756018,15.035848503053796,,9.962286130196128,11.428352300534991,10.061826805063012,10.685783234366397,12.903246453033889,,10.96433288666485,,9.136844924374136,9.136844924374136,9.494613594945866,9.494613594945866,,11.517827961276712,11.978277718748236,11.166884707279271,14.389092809873919,,9.883955362306017,10.172070521764718,11.355806676550943,,10.100846084047484,10.698121682486045,9.723758235575398,9.311486913091306,,10.100846084047484,10.100846084047484,9.723758235575398,9.311486913091306,,11.787508925092617,11.787508925092617,12.396058890540067,9.723758235575398,,9.168201611167314,9.097626215012905,9.605494776784402,9.605494776784402,,9.168201611167314,9.168201611167314,9.605494776784402,9.605494776784402,,12.919566552617647,9.13517003259853,12.919566552642586,9.655370000890937,9.811807383649406,10.460261206120553,13.819179953671096,,,10.879071528620432,9.037296983642463,10.879071528620432,11.502778288115085,11.502778288115085,10.127706957994118,9.347098442566667,,,10.040620453827982,9.009333908287456,10.040620453827982,9.683494322318285,9.683494322318285,9.293822433100482,9.293822433100482,,,9.312749205923907,9.000986063371743,9.312749205923907,10.105859849234305,9.249008878863776,9.249008878863776,10.105859849234305,,,9.208357296449384,9.000653692422716,9.208357296449384,9.746231934145028,9.746231934145028,9.746231934145028,9.746231934145028,,,9.154882929295585,9.00048474014787,9.154882929295585,9.12311628805844,9.12311628805844,9.558505365600187,9.558505365600187,,,9.145380248695044,9.000232827156013,9.145380248695044,9.272006690817628,9.272006690817628,9.272006690817628,9.272006690817628,
AW kernel support bw3 [uv-pixels],,13.772304131081581,13.772304131076762,9.836449912401356,10.829823564038508,10.866627870548784,,,13.772304131081581,11.738464118367318,9.836449912401356,10.829823564038508,10.866627870548784,,,13.772304131081581,11.738464118367318,9.836449912401356,10.829823564038508,10.866627870548784,,,12.861583732440991,,12.37974623726862,,10.589762013558143,,12.861583732440991,,10.839124539888765,,11.751180218360684,11.751180106308581,12.734988254385229,16.922531313076096,19.20466822152421,,10.285173800583866,10.486275417727919,10.650052809087656,10.791125363756018,15.5842539187174,,9.962286130196128,11.428352300534991,10.061826805063012,10.685783234366397,12.903246453033889,,12.37974623726862,,9.250136522868353,9.250136522868353,9.891213893046556,9.891213893046556,,11.517827961276712,11.978277718748236,11.166884707279271,14.389092809873919,,9.883955362306017,10.172070521764718,11.355806676550943,,10.941762099057625,11.942502809540011,10.293079113523758,9.565298108435549,,10.941762099057625,10.941762099057625,10.293079113523758,9.565298108435549,,12.257860431721486,12.257860508847399,12.396058890540067,10.293079113523758,,9.307052891777763,9.178740181912406,10.08645841091152,10.08645841091152,,9.307052891777763,9.307052891777763,10.08645841091152,10.08645841091152,,12.919566552617647,10.03563365687006,12.919566552642586,9.655370000890937,9.811807383649406,10.460261206120553,13.819179953671096,,,11.953694964207486,9.125479817204852,11.95369488292997,11.558231842801108,12.382206255823066,10.98742787657206,9.62902950251871,,,10.839124539888765,9.03149727632098,10.839124539888765,10.222915325947607,10.222915325947607,9.53361991488264,9.53361991488264,,,9.56756014406888,9.003329235741274,9.56756014406888,10.950291072798677,9.453056897210786,9.453056897210786,10.950291072798677,,,9.379726517313768,9.002207007334723,9.379726517313768,10.332161818060753,10.332161818060753,10.332161818060753,10.332161818060753,,,9.282895837175275,9.00163655505113,9.282895837175275,9.225170619700588,9.225170619700588,10.00390218191688,10.00390218191688,,,9.265643869779009,9.000786016480939,9.265643869779009,9.494436583463855,9.494436583463855,9.494436583463855,9.494436583463855,
AW kernel support bw4 [uv-pixels],,13.772304131081581,13.772304131076762,9.836449912401356,10.829823564038508,10.866627870548784,,,13.772304131081581,11.738464118367318,9.836449912401356,10.829823564038508,10.866627870548784,,,13.772304131081581,11.738464118367318,9.836449912401356,10.829823564038508,10.866627870548784,,,12.861583732440991,,14.251073215989699,,12.175657128551792,,12.861583732440991,,12.454412495379259,,11.751180218360684,11.751180106308581,12.734988254385229,16.922531313076096,19.20466822152421,,10.285173800583866,10.486275417727919,10.650052809087656,10.791125363756018,15.5842539187174,,,,,,,,14.251073215989699,,9.531047338017467,9.531047338017467,10.831916893408648,10.831916893408648,,11.517827961276712,11.978277718748236,11.166884707279271,14.389092809873919,,9.883955362306017,10.172070521764718,11.355806676550943,,12.83097337634745,13.81519191525946,11.420068464368185,10.18024775530373,,12.83097337634745,12.83097337634745,11.420068516656972,10.18024775530373,,12.257860431721486,12.257860508847399,12.396058890540067,11.612720198793768,,9.649837303757456,9.380995760938674,11.214120005967006,11.214120005967006,,9.649837303757456,9.649837303757456,11.214120005967006,11.214120005967006,,12.919566552617647,12.835564221305596,12.919566552642586,9.655370000890937,9.811807383649406,10.460261206120553,13.819179953671096,,,11.953694964207486,9.568992284448766,11.95369488292997,11.558231842801108,12.382206255823066,12.915088371190896,10.309139631220306,,,12.454412495379259,9.14522017109552,12.454412500038368,11.102419533296617,11.478004105623794,10.115898508362994,10.115898508362994,,,10.18483546196482,9.015418561858217,10.18483546196482,11.976300936411773,9.951372908247157,9.951372908247157,12.846698387919691,,,9.800485886115762,9.010222202780403,9.800485886115762,11.6874860591348,11.6874860591348,11.6874860591348,11.6874860591348,,,9.599507263788245,9.007580268056598,9.599507263788245,9.478710988692708,9.478710988692708,11.053202147446754,11.053202147446754,,,9.563484375877058,9.003640693176386,9.563484375877058,10.03603738974871,10.03603738974871,10.03603738974871,10.03603738974871,
AW kernel support bw5 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,14.251073215989699,,13.882142754365645,,,,12.454412495379259,,11.751180218360684,11.751180106308581,12.734988254385229,16.922531313076096,19.20466822152421,,,,,,,,,,,,,,14.251073215989699,,9.865409873876544,9.865409873876544,11.324175093730176,11.88792016658729,,11.517827961276712,11.978277718748236,11.166884707279271,14.389092809873919,,,,,,13.212390645871501,13.81519191525946,11.420068464368185,10.889183664098493,,13.212390645871501,13.212390240791244,11.420068516656972,10.889183664098493,,12.257860431721486,12.257860508847399,12.396058890540067,12.503411336122939,,10.055276726403948,9.62374453765626,11.409168512421124,12.462964727901614,,10.055276726403948,10.055276726403948,11.409168512421124,12.462964727901614,,,,,,,,,,,11.953694964207486,10.492426426517872,11.95369488292997,11.558231842801108,12.382206255823066,13.041823795948451,11.08877349166962,,,12.454412495379259,9.39394405979691,12.454412500038368,11.102419533296617,11.957613366793547,10.789121391666232,10.789121391666232,,,10.89630669721841,9.042288750263427,10.89630669721841,11.976300936411773,10.531957346238618,10.531957346238618,14.85389593000168,,,10.294336642643636,9.028047000909307,10.294336642643636,12.167185487749226,13.166073720242363,13.166073720242363,13.166073720242363,,,9.97498338519668,9.020801789745883,9.97498338519668,9.781358058991117,9.781358058991117,12.221716933324984,12.221716933324984,,,9.917378929981888,9.009992861205271,9.917378929981888,10.664536903206754,10.664536903206754,10.664536903206754,10.664536903206754,
AW kernel support bw6 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,14.251073215989699,,14.968775725323177,,,,12.454412495379259,,11.751180218360684,11.751180106308581,12.734988254385229,16.922531313076096,19.20466822152421,,,,,,,,,,,,,,14.251073215989699,,10.641492193636074,10.641492193636074,11.324175093730176,14.152190655007447,,11.517827961276712,11.978277718748236,11.166884707279271,14.389092809873919,,,,,,13.212390645871501,13.81519191525946,11.420068464368185,12.460349590731399,,13.212390645871501,13.212390240791244,11.420068516656972,12.460349590731399,,12.257860431721486,12.257860508847399,12.396058890540067,12.503411336122939,,10.987158425845902,10.194814172736017,11.409168512421124,15.10012851294242,,10.987158425845902,10.987158425845902,11.409168512421124,15.10012851294242,,,,,,,,,,,11.953694964207486,13.951874143866355,11.95369488292997,11.558231842801108,12.382206255823066,13.041823795948451,12.803895977439591,,,12.454412495379259,10.451778169189934,12.454412500038368,11.102419533296617,11.957613366793547,12.28693680062215,12.28693680062215,,,12.472663326263502,9.163339660174532,12.472663326263502,11.976300936411773,11.837352424030978,11.837352424030978,18.906556399253027,,,11.416481967502898,9.108544878557783,11.416481967502898,12.167185487749226,14.309862163143983,16.239203085489606,16.239203085489606,,,10.841511671779298,9.080583665410325,10.841511671779298,10.487028756062793,10.487028756062793,14.704419130949379,14.704419130949379,,,10.736543947837163,9.038764106253511,10.736543947837163,12.069858303787514,12.069858303787514,12.069858303787514,12.069858303787514,
AW kernel support bw7 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,14.251073215989699,,14.968775725323177,,,,12.454412495379259,,,,,,,,,,,,,,,,,,,,14.251073215989699,,11.508548641675068,11.508548641675068,11.324175093730176,16.478722897084165,,,,,,,,,,,13.212390645871501,13.81519191525946,11.420068464368185,14.126991609881342,,13.212390645871501,13.212390240791244,11.420068516656972,14.126991609881342,,12.257860431721486,12.257860508847399,12.396058890540067,12.503411336122939,,12.01605846395136,10.843780861816555,11.409168512421124,17.773464504351917,,12.01605846395136,12.01605846395136,11.409168512421124,17.773464504351917,,,,,,,,,,,11.953694964207486,19.26501173555068,11.95369488292997,11.558231842801108,12.382206255823066,13.041823795948451,14.609707792669338,,,12.454412495379259,12.365840561191177,12.454412500038368,11.102419533296617,11.957613366793547,13.882140256798081,13.882140256798081,,,13.002406077069082,9.409474453955937,13.002406170083606,11.976300936411773,13.243246948125556,13.243246948125556,22.870447827574708,,,12.639166431733038,9.273240772608291,12.639166431733038,12.167185487749226,14.309862163143983,19.313346631828853,19.313346631828853,,,11.802896473783427,9.203284847145458,11.802896473783427,11.279884615402956,11.279884615402956,17.234626905174537,17.234626905174537,,,11.648665796786966,9.09809524053618,11.648665796786966,12.578069996626219,13.574424223673388,13.574424223673388,13.574424223673388,
AW kernel support bw8 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,14.251073215989699,,14.968775725323177,,,,12.454412495379259,,,,,,,,,,,,,,,,,,,,14.251073215989699,,12.195124892626122,12.195124892626122,11.324175093730176,18.221077289659842,,,,,,,,,,,13.212390645871501,13.81519191525946,11.420068464368185,15.39958163654194,,13.212390645871501,13.212390240791244,11.420068516656972,15.39958163654194,,12.257860431721486,12.257860508847399,12.396058890540067,12.503411336122939,,12.823603497386214,11.364618539994243,11.409168512421124,19.760361228789172,,12.823603497386214,12.823603497386214,11.409168512421124,19.760361228789172,,,,,,,,,,,11.953694964207486,24.184442114749086,11.95369488292997,11.558231842801108,12.382206255823066,13.041823795948451,15.982057138130573,,,12.454412495379259,14.341037019571939,12.454412500038368,11.102419533296617,11.957613366793547,15.103332851634674,15.103332851634674,,,13.002406077069082,9.69772740661183,13.002406170083606,11.976300936411773,14.327512728069152,14.327512728069152,25.76233796747083,,,13.589723148969497,9.467808289401855,13.589723148969497,12.167185487749226,14.309862163143983,21.581824962333535,21.581824962333535,,,12.56016386311204,9.348909034387711,12.56016386311204,11.910454686145505,11.910454686145505,19.12072875502813,19.12072875502813,,,12.369082500248812,9.169006846481087,12.369082500248812,12.578069996626219,14.730198783392058,14.730198783392058,14.730198783392058,
AW kernel support bw9 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,14.251073215989699,,14.968775725323177,,,,12.454412495379259,,,,,,,,,,,,,,,,,,,,14.251073215989699,,13.139921008947882,13.139921008947882,11.324175093730176,20.51891563867256,,,,,,,,,,,13.212390645871501,13.81519191525946,11.420068464368185,17.101097153988437,,13.212390645871501,13.212390240791244,11.420068516656972,17.101097153988437,,12.257860431721486,12.257860508847399,12.396058890540067,12.503411336122939,,13.926668015859795,12.089819147093618,11.409168512421124,22.36734478764589,,13.926668015859795,13.926668015859795,11.409168512421124,22.36734478764589,,,,,,,,,,,11.953694964207486,31.735412541367545,11.95369488292997,11.558231842801108,12.382206255823066,13.041823795948451,17.810640287623773,,,12.454412495379259,17.59492234360183,12.454412500038368,11.102419533296617,11.957613366793547,16.739249792924937,16.739249792924937,,,13.002406077069082,10.240483885176074,13.002406170083606,11.976300936411773,15.788134334705195,15.788134334705195,29.5121710628882,,,14.878229522727478,9.838785600045993,14.878229522727478,12.167185487749226,14.309862163143983,24.54439997980787,24.54439997980787,,,13.597624745822229,9.6284824199026,13.597624745822229,12.781441399246743,12.781441399246743,21.600345675170715,21.600345675170715,,,13.358303472378545,9.306637143288484,13.358303472378545,12.578069996626219,16.282471944594793,16.282471944594793,16.282471944594793,
AW kernel support bw10 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,14.251073215989699,,14.968775725323177,,,,12.454412495379259,,,,,,,,,,,,,,,,,,,,14.251073215989699,,14.104494615213062,14.104494615213062,11.324175093730176,22.778583992530933,,,,,,,,,,,13.212390645871501,13.81519191525946,11.420068464368185,18.793608423806408,,13.212390645871501,13.212390240791244,11.420068516656972,18.793608423806408,,,,,,,15.045003343257887,12.838753666832492,11.409168512421124,24.920518130312384,,15.045003343257887,15.045003343257887,11.409168512421124,24.920518130312384,,,,,,,,,,,11.953694964207486,40.24747556765276,11.95369488292997,11.558231842801108,12.382206255823066,13.041823795948451,19.624225055388756,,,12.454412495379259,21.445374820275426,12.454412500038368,11.102419533296617,11.957613366793547,18.369180771564487,18.369180771564487,,,13.002406077069082,10.97618153992474,13.002406170083606,11.976300936411773,17.250504597536217,17.250504597536217,33.15111422588958,,,16.17545837743443,10.350319209954257,16.17545837743443,12.167185487749226,14.309862163143983,27.43517484722379,27.43517484722379,,,14.652363963318319,10.017791971955457,14.652363963318319,13.673873611745188,13.673873611745188,24.032607056174665,24.032607056174665,,,14.36615629162272,9.501448385674538,14.36615629162272,12.578069996626219,17.83251616123195,17.83251616123195,17.83251616123195,
AW kernel support bw11 [uv-pixels],,,,,,,,,,,,,,,,,,,,,,,,,14.251073215989699,,14.968775725323177,,,,12.454412495379259,,,,,,,,,,,,,,,,,,,,14.251073215989699,,15.079066711273494,15.079066711273494,11.324175093730176,24.997161286195972,,,,,,,,,,,13.212390645871501,13.81519191525946,11.420068464368185,20.469232000466125,,13.212390645871501,13.212390240791244,11.420068516656972,20.469232000466125,,,,,,,16.16857184418325,13.602777604251083,11.409168512421124,27.42002013156516,,16.16857184418325,16.16857184418325,11.409168512421124,27.42002013156516,,,,,,,,,,,11.953694964207486,49.60397857017745,11.95369488292997,11.558231842801108,12.382206255823066,13.041823795948451,21.415827827584597,,,12.454412495379259,25.797740120112653,12.454412500038368,11.102419533296617,11.957613366793547,19.9848241729486,19.98482428394226,,,13.002406077069082,11.906557431043499,13.002406170083606,11.976300936411773,18.705389849641314,18.705389719962795,36.69133190621243,,,17.47157775463497,11.009547883207942,17.47157775463497,12.167185487749226,14.309862163143983,30.257981307062998,30.257981204209077,,,15.71439853497558,10.525317001187634,15.71439853497558,14.578247912955511,14.578247827182699,26.41636750471519,26.41636750941408,,,15.382745002657172,9.760631254545988,15.382745002657172,12.578069996626219,19.37154915734196,19.371549110840043,19.37154906715571,
